Annual Income,Spending Score,Age,Membership Duration (Years),Transactions Per Year
71,91,45,5,9
112,59,64,13,46
34,42,24,2,43
91,92,61,5,45
80,60,25,8,32
40,80,64,10,11
102,15,52,9,13
106,62,31,12,12
94,62,34,12,16
94,47,53,12,38
107,62,57,13,37
119,51,21,9,27
43,55,19,13,28
22,64,23,13,41
41,3,59,1,39
72,51,21,9,48
21,7,46,7,44
107,21,35,9,26
49,73,43,8,31
57,39,61,1,39
21,18,51,12,5
83,4,27,8,39
79,89,53,8,41
40,60,31,11,18
52,14,48,3,7
95,9,32,1,5
77,90,25,8,9
41,53,31,3,30
108,2,40,3,18
68,84,57,1,43
